# Gradient from BCP/RCP (upwards)
# number of points: 123
# ---- origin of the path ---- 
# name: b5 (bond) ncp: 13 ncpcel: 13
# rho: 3.137795072E-01 grad: 2.500538196E-15 lap: -9.019386871E-01
# starting position (cryst.): 0.57733558   0.35645714   0.49411765   
# starting position (bohr): 1.13598238   -1.97363576  -0.00001294  
# starting path direction (bohr): -0.86641020  -0.49933291  0.00000125   
# ---- end of the path ---- 
# name: C_ (nucleus) ncp: 4 ncpcel: 4
# rho: 1.224259735E+02 grad: 0.000000000E+00 lap: -4.123135600E+06
# end position (cryst.): 0.49664593   0.30995864   0.49411927   
# end position (bohr): 0.00000000   -2.62826100  0.00000000   
# 
#          x                    y                    z                  rho                 rhox                 rhoy                 rhoz                rhoxx                rhoxy                rhoxz                rhoyy                rhoyz                rhozz 
  0.798073312871E+00  -0.216835977069E+01  -0.132173458991E-04   0.339348234247E+00  -0.115817597283E+00  -0.668395120636E-01  -0.732305679210E-05   0.152965977296E+00   0.544768689421E+00   0.498509168600E-04  -0.484375388962E+00  -0.846366959394E-04  -0.681495394467E+00 
  0.789411125246E+00  -0.217335642011E+01  -0.135639680794E-04   0.340709167872E+00  -0.119988530052E+00  -0.692005298396E-01  -0.478066360819E-05   0.172956844437E+00   0.560031600263E+00  -0.285193780692E-03  -0.484719926573E+00  -0.467544073255E-03  -0.689637129875E+00 
  0.780747597561E+00  -0.217835074569E+01  -0.135852734870E-04   0.342119536198E+00  -0.124438025268E+00  -0.717210379513E-01   0.161452386481E-05   0.200566639066E+00   0.580546124005E+00  -0.438455957497E-03  -0.480684887664E+00  -0.537305832269E-03  -0.696839553218E+00 
  0.772082114053E+00  -0.218334167702E+01  -0.134898631194E-04   0.343583213617E+00  -0.129276738155E+00  -0.744479041455E-01   0.332439014581E-05   0.235895757262E+00   0.601156398639E+00   0.445429900706E-04  -0.480349638448E+00   0.330730185773E-03  -0.707942458591E+00 
  0.763413892960E+00  -0.218832785222E+01  -0.133806238178E-04   0.345104772142E+00  -0.134559884651E+00  -0.773799038982E-01   0.185150272934E-05   0.277729208689E+00   0.627476021232E+00  -0.851004565196E-04  -0.477029031306E+00   0.261583703102E-03  -0.717544146372E+00 
  0.754743117610E+00  -0.219330958433E+01  -0.132000680253E-04   0.346689704007E+00  -0.140383435949E+00  -0.806107043200E-01   0.237929800208E-05   0.327528648102E+00   0.661737073698E+00  -0.262857844639E-03  -0.464304532124E+00   0.284510747210E-04  -0.724944124342E+00 
  0.746072342260E+00  -0.219829131644E+01  -0.130195122319E-04   0.348344937448E+00  -0.146835074931E+00  -0.842528213123E-01   0.568559882579E-05   0.376997216024E+00   0.699524553572E+00  -0.353001409287E-03  -0.444203315069E+00  -0.254137428726E-03  -0.733615408044E+00 
  0.737399163036E+00  -0.220326886221E+01  -0.125892875578E-04   0.350077997694E+00  -0.153906014312E+00  -0.883277552613E-01   0.866505616688E-05   0.426785079771E+00   0.740826842536E+00   0.449583628375E-04  -0.431363881664E+00  -0.141675895127E-03  -0.754804567518E+00 
  0.728726247219E+00  -0.220824686695E+01  -0.122686234429E-04   0.351896361844E+00  -0.161617482969E+00  -0.927671474355E-01   0.410152564439E-05   0.483950377338E+00   0.781649009966E+00   0.497857572721E-03  -0.430119960596E+00   0.189380181391E-03  -0.778861291949E+00 
  0.720053539601E+00  -0.221322523440E+01  -0.121071483261E-04   0.353808267040E+00  -0.170162440370E+00  -0.976810858673E-01   0.212586488407E-05   0.555766063543E+00   0.834407329728E+00   0.741837259977E-04  -0.407332497467E+00   0.786887425920E-04  -0.793273822172E+00 
  0.711383555144E+00  -0.221820834282E+01  -0.120275075637E-04   0.355824006931E+00  -0.179552990961E+00  -0.103246553687E+00   0.100402836329E-05   0.616342743844E+00   0.894293769425E+00   0.897754336929E-04  -0.365504764707E+00   0.833194233572E-04  -0.812282839958E+00 
  0.702720030250E+00  -0.222320267325E+01  -0.120391949086E-04   0.357954354441E+00  -0.189805565975E+00  -0.109544231999E+00  -0.891496344124E-06   0.693335162297E+00   0.956090100945E+00   0.226724294496E-03  -0.322030679740E+00   0.198937787107E-03  -0.832865304507E+00 
  0.694062018914E+00  -0.222820655571E+01  -0.121763795717E-04   0.360211855090E+00  -0.201318663274E+00  -0.116491602156E+00  -0.433003491681E-05   0.819385160111E+00   0.101809887409E+01   0.243465441295E-03  -0.321948200233E+00   0.294292621016E-03  -0.855048406496E+00 
  0.685407207788E+00  -0.223321597128E+01  -0.124232478576E-04   0.362611292241E+00  -0.214228527440E+00  -0.124094137863E+00  -0.751778361642E-05   0.941195668138E+00   0.110230961911E+01   0.200364511614E-03  -0.304114405966E+00   0.281822316202E-03  -0.879325351361E+00 
  0.676753596088E+00  -0.223822745853E+01  -0.126584197027E-04   0.365169468906E+00  -0.228764660020E+00  -0.132552213503E+00  -0.794638353180E-05   0.108746871260E+01   0.120319203717E+01  -0.310951770302E-03  -0.297200954101E+00   0.188115196598E-04  -0.900870945722E+00 
  0.668099552551E+00  -0.224323820004E+01  -0.127095844720E-04   0.367906207708E+00  -0.245183195007E+00  -0.142000506786E+00  -0.163939968245E-05   0.125407147029E+01   0.131653878777E+01  -0.897994125575E-03  -0.277322478710E+00  -0.353649217189E-03  -0.930055941499E+00 
  0.659443853237E+00  -0.224824608076E+01  -0.126024250426E-04   0.370844240890E+00  -0.263728030398E+00  -0.152587446283E+00   0.732053059782E-05   0.143913328952E+01   0.143991956791E+01  -0.499947132803E-03  -0.254540141800E+00  -0.172366567405E-03  -0.965003279328E+00 
  0.650788153923E+00  -0.225325396149E+01  -0.124952656124E-04   0.374008963878E+00  -0.284642458860E+00  -0.164478864756E+00   0.789988155239E-05   0.164863198057E+01   0.158600023903E+01  -0.174516312599E-04  -0.219791241455E+00   0.955886150257E-04  -0.997404405352E+00 
  0.642128483410E+00  -0.225825497205E+01  -0.122885345624E-04   0.377429269106E+00  -0.308177192272E+00  -0.177879170190E+00   0.714966793022E-05   0.186477966105E+01   0.174528444865E+01   0.478449544036E-04  -0.184234257233E+00   0.109025488601E-03  -0.104363475545E+01 
  0.633466949376E+00  -0.226325275437E+01  -0.121273987124E-04   0.381135975465E+00  -0.334379375999E+00  -0.192885513556E+00   0.519906486658E-05   0.207433471761E+01   0.190957348670E+01   0.273536112660E-03  -0.150150609314E+00   0.103342618705E-03  -0.109672531178E+01 
  0.624804202499E+00  -0.226824843415E+01  -0.120323231458E-04   0.385160682542E+00  -0.363492500555E+00  -0.209572445527E+00   0.286478922216E-05   0.235701303069E+01   0.210035622659E+01   0.263873564415E-05  -0.102041992430E+00   0.806079638650E-04  -0.114817768451E+01 
